problem,category,instance,bks
PFSP,Taillard,1.txt,1278
PFSP,Taillard,2.txt,1359
PFSP,Taillard,3.txt,1081
PFSP,Taillard,4.txt,1293
PFSP,Taillard,5.txt,1235
PFSP,Taillard,6.txt,1195
PFSP,Taillard,7.txt,1234
PFSP,Taillard,8.txt,1206
PFSP,Taillard,9.txt,1230
PFSP,Taillard,10.txt,1108
PFSP,Taillard,11.txt,1582
PFSP,Taillard,12.txt,1659
PFSP,Taillard,13.txt,1496
PFSP,Taillard,14.txt,1377
PFSP,Taillard,15.txt,1419
PFSP,Taillard,16.txt,1397
PFSP,Taillard,17.txt,1484
PFSP,Taillard,18.txt,1538
PFSP,Taillard,19.txt,1593
PFSP,Taillard,20.txt,1591
PFSP,Taillard,21.txt,2297
PFSP,Taillard,22.txt,2099
PFSP,Taillard,23.txt,2326
PFSP,Taillard,24.txt,2223
PFSP,Taillard,25.txt,2291
PFSP,Taillard,26.txt,2226
PFSP,Taillard,27.txt,2273
PFSP,Taillard,28.txt,2200
PFSP,Taillard,29.txt,2237
PFSP,Taillard,30.txt,2178
PFSP,Taillard,31.txt,2724
PFSP,Taillard,32.txt,2834
PFSP,Taillard,33.txt,2621
PFSP,Taillard,34.txt,2751
PFSP,Taillard,35.txt,2863
PFSP,Taillard,36.txt,2829
PFSP,Taillard,37.txt,2725
PFSP,Taillard,38.txt,2683
PFSP,Taillard,39.txt,2552
PFSP,Taillard,40.txt,2782
PFSP,Taillard,41.txt,2991
PFSP,Taillard,42.txt,2867
PFSP,Taillard,43.txt,2839
PFSP,Taillard,44.txt,3063
PFSP,Taillard,45.txt,2976
PFSP,Taillard,46.txt,3006
PFSP,Taillard,47.txt,3093
PFSP,Taillard,48.txt,3037
PFSP,Taillard,49.txt,2897
PFSP,Taillard,50.txt,3065
PFSP,Taillard,51.txt,3850
PFSP,Taillard,52.txt,3704
PFSP,Taillard,53.txt,3640
PFSP,Taillard,54.txt,3723
PFSP,Taillard,55.txt,3611
PFSP,Taillard,56.txt,3681
PFSP,Taillard,57.txt,3704
PFSP,Taillard,58.txt,3691
PFSP,Taillard,59.txt,3743
PFSP,Taillard,60.txt,3756
PFSP,Taillard,61.txt,5493
PFSP,Taillard,62.txt,5268
PFSP,Taillard,63.txt,5175
PFSP,Taillard,64.txt,5014
PFSP,Taillard,65.txt,5250
PFSP,Taillard,66.txt,5135
PFSP,Taillard,67.txt,5246
PFSP,Taillard,68.txt,5094
PFSP,Taillard,69.txt,5448
PFSP,Taillard,70.txt,5322
PFSP,Taillard,71.txt,5770
PFSP,Taillard,72.txt,5349
PFSP,Taillard,73.txt,5676
PFSP,Taillard,74.txt,5781
PFSP,Taillard,75.txt,5467
PFSP,Taillard,76.txt,5303
PFSP,Taillard,77.txt,5595
PFSP,Taillard,78.txt,5617
PFSP,Taillard,79.txt,5871
PFSP,Taillard,80.txt,5845
PFSP,Taillard,81.txt,6202
PFSP,Taillard,82.txt,6183
PFSP,Taillard,83.txt,6271
PFSP,Taillard,84.txt,6269
PFSP,Taillard,85.txt,6314
PFSP,Taillard,86.txt,6364
PFSP,Taillard,87.txt,6268
PFSP,Taillard,88.txt,6401
PFSP,Taillard,89.txt,6275
PFSP,Taillard,90.txt,6434
PFSP,Taillard,91.txt,10862
PFSP,Taillard,92.txt,10480
PFSP,Taillard,93.txt,10922
PFSP,Taillard,94.txt,10889
PFSP,Taillard,95.txt,10524
PFSP,Taillard,96.txt,10329
PFSP,Taillard,97.txt,10854
PFSP,Taillard,98.txt,10730
PFSP,Taillard,99.txt,10438
PFSP,Taillard,100.txt,10675
PFSP,Taillard,101.txt,11195
PFSP,Taillard,102.txt,11203
PFSP,Taillard,103.txt,11281
PFSP,Taillard,104.txt,11275
PFSP,Taillard,105.txt,11259
PFSP,Taillard,106.txt,11176
PFSP,Taillard,107.txt,11360
PFSP,Taillard,108.txt,11334
PFSP,Taillard,109.txt,11192
PFSP,Taillard,110.txt,11288
PFSP,Taillard,111.txt,26059
PFSP,Taillard,112.txt,26520
PFSP,Taillard,113.txt,26371
PFSP,Taillard,114.txt,26456
PFSP,Taillard,115.txt,26334
PFSP,Taillard,116.txt,26477
PFSP,Taillard,117.txt,26389
PFSP,Taillard,118.txt,26560
PFSP,Taillard,119.txt,26005
PFSP,Taillard,120.txt,26457
PFSP,VFR,121.txt,6176
PFSP,VFR,122.txt,6119
PFSP,VFR,123.txt,6267
PFSP,VFR,124.txt,6210
PFSP,VFR,125.txt,6223
PFSP,VFR,126.txt,6260
PFSP,VFR,127.txt,6274
PFSP,VFR,128.txt,6411
PFSP,VFR,129.txt,6074
PFSP,VFR,130.txt,6324
PFSP,VFR,131.txt,7840
PFSP,VFR,132.txt,7894
PFSP,VFR,133.txt,7957
PFSP,VFR,134.txt,7889
PFSP,VFR,135.txt,7895
PFSP,VFR,136.txt,7968
PFSP,VFR,137.txt,7988
PFSP,VFR,138.txt,7956
PFSP,VFR,139.txt,7936
PFSP,VFR,140.txt,7853
PFSP,VFR,141.txt,9326
PFSP,VFR,142.txt,9547
PFSP,VFR,143.txt,9513
PFSP,VFR,144.txt,9316
PFSP,VFR,145.txt,9366
PFSP,VFR,146.txt,9391
PFSP,VFR,147.txt,9622
PFSP,VFR,148.txt,9326
PFSP,VFR,149.txt,9507
PFSP,VFR,150.txt,9480
PFSP,VFR,151.txt,11271
PFSP,VFR,152.txt,11286
PFSP,VFR,153.txt,11227
PFSP,VFR,154.txt,11297
PFSP,VFR,155.txt,11175
PFSP,VFR,156.txt,11152
PFSP,VFR,157.txt,11301
PFSP,VFR,158.txt,11347
PFSP,VFR,159.txt,11107
PFSP,VFR,160.txt,11069
PFSP,VFR,161.txt,13077
PFSP,VFR,162.txt,13134
PFSP,VFR,163.txt,13027
PFSP,VFR,164.txt,13197
PFSP,VFR,165.txt,13111
PFSP,VFR,166.txt,12927
PFSP,VFR,167.txt,13023
PFSP,VFR,168.txt,13188
PFSP,VFR,169.txt,13089
PFSP,VFR,170.txt,13042
PFSP,VFR,171.txt,14861
PFSP,VFR,172.txt,14881
PFSP,VFR,173.txt,14890
PFSP,VFR,174.txt,15103
PFSP,VFR,175.txt,14918
PFSP,VFR,176.txt,15020
PFSP,VFR,177.txt,14909
PFSP,VFR,178.txt,14956
PFSP,VFR,179.txt,14852
PFSP,VFR,180.txt,14867
PFSP,VFR,181.txt,16092
PFSP,VFR,182.txt,16794
PFSP,VFR,183.txt,16465
PFSP,VFR,184.txt,16115
PFSP,VFR,185.txt,16125
PFSP,VFR,186.txt,16293
PFSP,VFR,187.txt,16062
PFSP,VFR,188.txt,16228
PFSP,VFR,189.txt,16363
PFSP,VFR,190.txt,16298
PFSP,VFR,191.txt,18127
PFSP,VFR,192.txt,18253
PFSP,VFR,193.txt,18341
PFSP,VFR,194.txt,18276
PFSP,VFR,195.txt,18181
PFSP,VFR,196.txt,18320
PFSP,VFR,197.txt,18250
PFSP,VFR,198.txt,18283
PFSP,VFR,199.txt,18238
PFSP,VFR,200.txt,18226
PFSP,VFR,201.txt,20397
PFSP,VFR,202.txt,20290
PFSP,VFR,203.txt,20224
PFSP,VFR,204.txt,20244
PFSP,VFR,205.txt,20235
PFSP,VFR,206.txt,20156
PFSP,VFR,207.txt,20180
PFSP,VFR,208.txt,20285
PFSP,VFR,209.txt,20291
PFSP,VFR,210.txt,20326
PFSP,VFR,211.txt,21027
PFSP,VFR,212.txt,21524
PFSP,VFR,213.txt,21411
PFSP,VFR,214.txt,21426
PFSP,VFR,215.txt,21231
PFSP,VFR,216.txt,21497
PFSP,VFR,217.txt,21165
PFSP,VFR,218.txt,21580
PFSP,VFR,219.txt,21264
PFSP,VFR,220.txt,21301
PFSP,VFR,221.txt,23362
PFSP,VFR,222.txt,23504
PFSP,VFR,223.txt,23257
PFSP,VFR,224.txt,23405
PFSP,VFR,225.txt,23220
PFSP,VFR,226.txt,23141
PFSP,VFR,227.txt,23292
PFSP,VFR,228.txt,23364
PFSP,VFR,229.txt,23266
PFSP,VFR,230.txt,23457
PFSP,VFR,231.txt,25392
PFSP,VFR,232.txt,25618
PFSP,VFR,233.txt,25498
PFSP,VFR,234.txt,25590
PFSP,VFR,235.txt,25608
PFSP,VFR,236.txt,25615
PFSP,VFR,237.txt,25358
PFSP,VFR,238.txt,25372
PFSP,VFR,239.txt,25541
PFSP,VFR,240.txt,25622
PFSP,VFR,241.txt,26355
PFSP,VFR,242.txt,26043
PFSP,VFR,243.txt,26631
PFSP,VFR,244.txt,26357
PFSP,VFR,245.txt,26058
PFSP,VFR,246.txt,26729
PFSP,VFR,247.txt,26395
PFSP,VFR,248.txt,26401
PFSP,VFR,249.txt,26302
PFSP,VFR,250.txt,26410
PFSP,VFR,251.txt,28362
PFSP,VFR,252.txt,28585
PFSP,VFR,253.txt,28503
PFSP,VFR,254.txt,28374
PFSP,VFR,255.txt,28477
PFSP,VFR,256.txt,28543
PFSP,VFR,257.txt,28248
PFSP,VFR,258.txt,28486
PFSP,VFR,259.txt,28435
PFSP,VFR,260.txt,28640
PFSP,VFR,261.txt,30609
PFSP,VFR,262.txt,30828
PFSP,VFR,263.txt,30597
PFSP,VFR,264.txt,30823
PFSP,VFR,265.txt,30796
PFSP,VFR,266.txt,30700
PFSP,VFR,267.txt,30829
PFSP,VFR,268.txt,30733
PFSP,VFR,269.txt,30729
PFSP,VFR,270.txt,30785
PFSP,VFR,271.txt,31359
PFSP,VFR,272.txt,31107
PFSP,VFR,273.txt,31372
PFSP,VFR,274.txt,31412
PFSP,VFR,275.txt,31480
PFSP,VFR,276.txt,31387
PFSP,VFR,277.txt,31668
PFSP,VFR,278.txt,31483
PFSP,VFR,279.txt,31465
PFSP,VFR,280.txt,31514
PFSP,VFR,281.txt,33618
PFSP,VFR,282.txt,33396
PFSP,VFR,283.txt,33356
PFSP,VFR,284.txt,33612
PFSP,VFR,285.txt,33477
PFSP,VFR,286.txt,33307
PFSP,VFR,287.txt,33552
PFSP,VFR,288.txt,33492
PFSP,VFR,289.txt,33282
PFSP,VFR,290.txt,33422
PFSP,VFR,291.txt,35863
PFSP,VFR,292.txt,35804
PFSP,VFR,293.txt,35791
PFSP,VFR,294.txt,35896
PFSP,VFR,295.txt,35883
PFSP,VFR,296.txt,35929
PFSP,VFR,297.txt,35828
PFSP,VFR,298.txt,35882
PFSP,VFR,299.txt,35784
PFSP,VFR,300.txt,35935
PFSP,VFR,301.txt,36354
PFSP,VFR,302.txt,36376
PFSP,VFR,303.txt,36303
PFSP,VFR,304.txt,36487
PFSP,VFR,305.txt,36379
PFSP,VFR,306.txt,36547
PFSP,VFR,307.txt,36610
PFSP,VFR,308.txt,36609
PFSP,VFR,309.txt,36481
PFSP,VFR,310.txt,36290
PFSP,VFR,311.txt,38720
PFSP,VFR,312.txt,38647
PFSP,VFR,313.txt,38499
PFSP,VFR,314.txt,38393
PFSP,VFR,315.txt,38593
PFSP,VFR,316.txt,38430
PFSP,VFR,317.txt,38336
PFSP,VFR,318.txt,38287
PFSP,VFR,319.txt,38766
PFSP,VFR,320.txt,38452
PFSP,VFR,321.txt,41125
PFSP,VFR,322.txt,41093
PFSP,VFR,323.txt,41008
PFSP,VFR,324.txt,40961
PFSP,VFR,325.txt,41070
PFSP,VFR,326.txt,41022
PFSP,VFR,327.txt,40994
PFSP,VFR,328.txt,40572
PFSP,VFR,329.txt,41121
PFSP,VFR,330.txt,40930
PFSP,VFR,331.txt,41477
PFSP,VFR,332.txt,41561
PFSP,VFR,333.txt,41337
PFSP,VFR,334.txt,41362
PFSP,VFR,335.txt,41426
PFSP,VFR,336.txt,41702
PFSP,VFR,337.txt,41959
PFSP,VFR,338.txt,41379
PFSP,VFR,339.txt,41429
PFSP,VFR,340.txt,41753
PFSP,VFR,341.txt,43456
PFSP,VFR,342.txt,43592
PFSP,VFR,343.txt,43483
PFSP,VFR,344.txt,43512
PFSP,VFR,345.txt,43557
PFSP,VFR,346.txt,43635
PFSP,VFR,347.txt,43549
PFSP,VFR,348.txt,43458
PFSP,VFR,349.txt,43548
PFSP,VFR,350.txt,43497
PFSP,VFR,351.txt,46130
PFSP,VFR,352.txt,46004
PFSP,VFR,353.txt,46164
PFSP,VFR,354.txt,46108
PFSP,VFR,355.txt,46035
PFSP,VFR,356.txt,46101
PFSP,VFR,357.txt,46110
PFSP,VFR,358.txt,45986
PFSP,VFR,359.txt,46136
PFSP,VFR,360.txt,46226
NPFSP,Taillard,1.txt,1278
NPFSP,Taillard,2.txt,1359
NPFSP,Taillard,3.txt,1081
NPFSP,Taillard,4.txt,1293
NPFSP,Taillard,5.txt,1235
NPFSP,Taillard,6.txt,1195
NPFSP,Taillard,7.txt,1234
NPFSP,Taillard,8.txt,1206
NPFSP,Taillard,9.txt,1230
NPFSP,Taillard,10.txt,1108
NPFSP,Taillard,11.txt,1582
NPFSP,Taillard,12.txt,1659
NPFSP,Taillard,13.txt,1496
NPFSP,Taillard,14.txt,1377
NPFSP,Taillard,15.txt,1419
NPFSP,Taillard,16.txt,1397
NPFSP,Taillard,17.txt,1484
NPFSP,Taillard,18.txt,1538
NPFSP,Taillard,19.txt,1593
NPFSP,Taillard,20.txt,1591
NPFSP,Taillard,21.txt,2297
NPFSP,Taillard,22.txt,2099
NPFSP,Taillard,23.txt,2326
NPFSP,Taillard,24.txt,2223
NPFSP,Taillard,25.txt,2291
NPFSP,Taillard,26.txt,2226
NPFSP,Taillard,27.txt,2273
NPFSP,Taillard,28.txt,2200
NPFSP,Taillard,29.txt,2237
NPFSP,Taillard,30.txt,2178
NPFSP,Taillard,31.txt,2724
NPFSP,Taillard,32.txt,2834
NPFSP,Taillard,33.txt,2621
NPFSP,Taillard,34.txt,2751
NPFSP,Taillard,35.txt,2863
NPFSP,Taillard,36.txt,2829
NPFSP,Taillard,37.txt,2725
NPFSP,Taillard,38.txt,2683
NPFSP,Taillard,39.txt,2552
NPFSP,Taillard,40.txt,2782
NPFSP,Taillard,41.txt,2991
NPFSP,Taillard,42.txt,2867
NPFSP,Taillard,43.txt,2839
NPFSP,Taillard,44.txt,3063
NPFSP,Taillard,45.txt,2976
NPFSP,Taillard,46.txt,3006
NPFSP,Taillard,47.txt,3093
NPFSP,Taillard,48.txt,3037
NPFSP,Taillard,49.txt,2897
NPFSP,Taillard,50.txt,3065
NPFSP,Taillard,51.txt,3850
NPFSP,Taillard,52.txt,3704
NPFSP,Taillard,53.txt,3640
NPFSP,Taillard,54.txt,3723
NPFSP,Taillard,55.txt,3611
NPFSP,Taillard,56.txt,3681
NPFSP,Taillard,57.txt,3704
NPFSP,Taillard,58.txt,3691
NPFSP,Taillard,59.txt,3743
NPFSP,Taillard,60.txt,3756
NPFSP,Taillard,61.txt,5493
NPFSP,Taillard,62.txt,5268
NPFSP,Taillard,63.txt,5175
NPFSP,Taillard,64.txt,5014
NPFSP,Taillard,65.txt,5250
NPFSP,Taillard,66.txt,5135
NPFSP,Taillard,67.txt,5246
NPFSP,Taillard,68.txt,5094
NPFSP,Taillard,69.txt,5448
NPFSP,Taillard,70.txt,5322
NPFSP,Taillard,71.txt,5770
NPFSP,Taillard,72.txt,5349
NPFSP,Taillard,73.txt,5676
NPFSP,Taillard,74.txt,5781
NPFSP,Taillard,75.txt,5467
NPFSP,Taillard,76.txt,5303
NPFSP,Taillard,77.txt,5595
NPFSP,Taillard,78.txt,5617
NPFSP,Taillard,79.txt,5871
NPFSP,Taillard,80.txt,5845
NPFSP,Taillard,81.txt,6202
NPFSP,Taillard,82.txt,6183
NPFSP,Taillard,83.txt,6271
NPFSP,Taillard,84.txt,6269
NPFSP,Taillard,85.txt,6314
NPFSP,Taillard,86.txt,6364
NPFSP,Taillard,87.txt,6268
NPFSP,Taillard,88.txt,6401
NPFSP,Taillard,89.txt,6275
NPFSP,Taillard,90.txt,6434
NPFSP,Taillard,91.txt,10862
NPFSP,Taillard,92.txt,10480
NPFSP,Taillard,93.txt,10922
NPFSP,Taillard,94.txt,10889
NPFSP,Taillard,95.txt,10524
NPFSP,Taillard,96.txt,10329
NPFSP,Taillard,97.txt,10854
NPFSP,Taillard,98.txt,10730
NPFSP,Taillard,99.txt,10438
NPFSP,Taillard,100.txt,10675
NPFSP,Taillard,101.txt,11195
NPFSP,Taillard,102.txt,11203
NPFSP,Taillard,103.txt,11281
NPFSP,Taillard,104.txt,11275
NPFSP,Taillard,105.txt,11259
NPFSP,Taillard,106.txt,11176
NPFSP,Taillard,107.txt,11360
NPFSP,Taillard,108.txt,11334
NPFSP,Taillard,109.txt,11192
NPFSP,Taillard,110.txt,11288
NPFSP,Taillard,111.txt,26059
NPFSP,Taillard,112.txt,26520
NPFSP,Taillard,113.txt,26371
NPFSP,Taillard,114.txt,26456
