Title;MMLIB 50
Description;"Van Peteghem, V. and Vanhoucke, M., 2014, ""An experimental investigation of metaheuristics for the multi-mode resource-constrained project scheduling problem on new dataset instances"", European Journal of Operational Research, 235(1), 62–72 (doi:10.1016/j.ejor.2013.10.012)."
Number;540
Format;mm
ID;Ref1;Ref2;Ref3;LB value;LB ref;LB time;UB value;UB ref;UB time;OPT value;OPT ref;OPT time;CPM;Sum PT;# Act;CNC;OS;SP/I2;AD/I3;LA/I4;I5;TF/I6;# RR;RF/RR;RU/RR;RS/RR;RC/RR;# NR;RF/NR;RU/NR;RS/NR;RC/NR;# Modes
1;J501_1.mm;0;0;31;2;1150;31;1;633000;31;4;21555;17;397;50;3,740;0,262;0,082;0,389;0,085;0,677;0,394;4;0,900;1,800;0,237;0,101;0;0,870;1,740;0,242;0,037;3,000
2;J501_2.mm;0;0;25;2;12230;25;1;510000;25;4;14039;17;408;50;4,300;0,267;0,061;0,275;0,124;0,626;0,370;4;0,870;1,740;0,279;0,100;0;0,840;1,680;0,245;0,036;3,000
3;J501_3.mm;0;0;25;3;0;25;4;3799494;25;4;3799494;18;381;50;4,120;0,268;0,061;0,116;0,103;0,506;0,275;4;0,860;1,720;0,276;0,113;0;0,810;1,620;0,248;0,037;3,000
4;J501_4.mm;0;0;29;2;420;29;1;641000;29;4;10821;22;372;50;3,780;0,262;0,061;0,261;0,085;0,494;0,239;4;0,920;1,840;0,248;0,082;0;0,870;1,740;0,244;0,038;3,000
5;J501_5.mm;0;0;26;2;440;26;1;657000;26;4;8109;12;388;50;3,980;0,263;0,061;0,232;0,112;0,609;0,283;4;0,880;1,760;0,242;0,102;0;0,840;1,680;0,244;0,037;3,000
6;J502_1.mm;0;0;24;2;94500;24;1;422000;24;4;47263;22;400;50;3,640;0,260;0,082;0,333;0,077;0,655;0,372;4;0,880;1,760;0,245;0,107;0;1,000;2,000;0,252;0,022;3,000
7;J502_2.mm;0;0;25;3;0;25;1;390000;25;4;49932;21;416;50;4,120;0,268;0,061;0,174;0,091;0,520;0,275;4;0,910;1,820;0,237;0,111;0;1,000;2,000;0,249;0,022;3,000
8;J502_3.mm;0;0;22;3;0;22;1;350000;22;4;23889;18;406;50;3,840;0,264;0,082;0,306;0,047;0,522;0,389;4;0,900;1,800;0,243;0,100;0;1,000;2,000;0,246;0,022;3,000
9;J502_4.mm;0;0;24;3;0;24;1;413000;24;4;76972;17;431;50;3,320;0,266;0,082;0,306;0,071;0,563;0,433;4;0,890;1,780;0,243;0,097;0;1,000;2,000;0,250;0,022;3,000
10;J502_5.mm;0;0;23;3;0;23;1;382000;23;4;1549224;18;410;50;4,180;0,267;0,061;0,246;0,126;0,594;0,312;4;0,870;1,740;0,250;0,103;0;1,000;2,000;0,247;0,022;3,000
11;J503_1.mm;0;0;19;CPM;0;19;1;428000;19;4;8312;19;416;50;3,700;0,264;0,082;0,333;0,078;0,538;0,372;4;0,860;1,720;0,246;0,111;0;0,850;1,700;0,499;0,023;3,000
12;J503_2.mm;0;0;20;CPM;0;20;1;436000;20;4;2759;20;379;50;3,460;0,261;0,061;0,232;0,102;0,602;0,188;4;0,890;1,780;0,243;0,100;0;0,890;1,780;0,501;0,021;3,000
13;J503_3.mm;0;0;18;CPM;0;18;1;464000;18;4;10492;18;396;50;3,600;0,264;0,061;0,246;0,119;0,649;0,232;4;0,880;1,760;0,247;0,103;0;0,910;1,820;0,499;0,021;3,000
14;J503_4.mm;0;0;23;CPM;0;23;1;437000;23;4;3665;23;398;50;3,560;0,260;0,082;0,389;0,096;0,715;0,378;4;0,860;1,720;0,245;0,114;0;0,880;1,760;0,500;0,021;3,000
15;J503_5.mm;0;0;18;2;1122550;18;1;431000;18;4;109148;16;403;50;3,880;0,265;0,061;0,275;0,115;0,623;0,254;4;0,920;1,840;0,230;0,105;0;0,900;1,800;0,498;0,021;3,000
16;J504_1.mm;0;0;19;3;0;19;1;396000;19;4;379627;18;419;50;3,640;0,262;0,082;0,389;0,110;0,696;0,417;4;0,880;1,760;0,250;0,104;0;1,000;2,000;0,505;0,020;3,000
