instance,status,objective,time,problem
1.txt,Optimal,40.0,0.287,FJSP
10.txt,Feasible,208.0,900.057,FJSP
100.txt,Feasible,502.0,900.078,FJSP
101.txt,Feasible,457.0,900.058,FJSP
102.txt,Feasible,799.0,900.208,FJSP
103.txt,Feasible,749.0,900.107,FJSP
104.txt,Feasible,765.0,900.081,FJSP
105.txt,Feasible,853.0,900.172,FJSP
106.txt,Feasible,804.0,900.113,FJSP
107.txt,Feasible,1071.0,900.175,FJSP
108.txt,Feasible,936.0,900.244,FJSP
109.txt,Feasible,1038.0,900.106,FJSP
11.txt,Optimal,609.0,0.079,FJSP
110.txt,Feasible,1070.0,900.159,FJSP
111.txt,Feasible,1089.0,900.121,FJSP
112.txt,Optimal,717.0,16.312,FJSP
113.txt,Optimal,646.0,21.819,FJSP
114.txt,Optimal,663.0,40.153,FJSP
115.txt,Optimal,617.0,74.402,FJSP
116.txt,Optimal,756.0,62.993,FJSP
117.txt,Feasible,813.0,900.09,FJSP
118.txt,Feasible,743.0,900.122,FJSP
119.txt,Feasible,822.0,900.069,FJSP
12.txt,Optimal,655.0,0.077,FJSP
120.txt,Feasible,794.0,900.069,FJSP
121.txt,Feasible,764.0,900.063,FJSP
122.txt,Feasible,1060.0,900.054,FJSP
123.txt,Feasible,1093.0,900.059,FJSP
124.txt,Feasible,1076.0,900.058,FJSP
125.txt,Feasible,1002.0,900.082,FJSP
126.txt,Feasible,1081.0,900.065,FJSP
127.txt,Feasible,1524.0,900.065,FJSP
128.txt,Feasible,1662.0,900.062,FJSP
129.txt,Feasible,1503.0,900.117,FJSP
13.txt,Optimal,550.0,0.059,FJSP
130.txt,Feasible,1540.0,900.059,FJSP
131.txt,Feasible,1551.0,900.056,FJSP
132.txt,Feasible,948.0,900.079,FJSP
133.txt,Feasible,986.0,900.072,FJSP
134.txt,Feasible,943.0,900.061,FJSP
135.txt,Feasible,922.0,900.067,FJSP
136.txt,Feasible,955.0,900.114,FJSP
137.txt,Optimal,47.0,0.164,FJSP
138.txt,Optimal,655.0,42.118,FJSP
139.txt,Feasible,1022.0,900.091,FJSP
14.txt,Optimal,568.0,0.208,FJSP
140.txt,Optimal,927.0,15.539,FJSP
141.txt,Optimal,908.0,7.738,FJSP
142.txt,Optimal,918.0,4.375,FJSP
143.txt,Optimal,918.0,5.771,FJSP
144.txt,Optimal,918.0,16.1,FJSP
145.txt,Optimal,905.0,25.853,FJSP
146.txt,Optimal,847.0,8.311,FJSP
147.txt,Optimal,914.0,5.23,FJSP
148.txt,Optimal,907.0,10.027,FJSP
149.txt,Optimal,925.0,11.49,FJSP
15.txt,Optimal,503.0,0.08,FJSP
150.txt,Optimal,925.0,8.491,FJSP
151.txt,Optimal,925.0,14.424,FJSP
152.txt,Optimal,910.0,13.87,FJSP
153.txt,Optimal,902.0,16.673,FJSP
154.txt,Optimal,1169.0,16.532,FJSP
155.txt,Optimal,1135.0,475.002,FJSP
156.txt,Optimal,1198.0,39.835,FJSP
157.txt,Optimal,1194.0,11.082,FJSP
158.txt,Optimal,1194.0,12.865,FJSP
159.txt,Optimal,1135.0,490.277,FJSP
16.txt,Optimal,833.0,0.13,FJSP
160.txt,Feasible,1125.0,900.074,FJSP
161.txt,Optimal,2505.0,47.629,FJSP
162.txt,Feasible,2255.0,900.435,FJSP
163.txt,Feasible,2229.0,900.093,FJSP
164.txt,Optimal,2503.0,29.636,FJSP
165.txt,Feasible,2232.0,900.077,FJSP
166.txt,Feasible,2215.0,900.114,FJSP
167.txt,Feasible,2328.0,900.185,FJSP
168.txt,Feasible,2104.0,900.078,FJSP
169.txt,Feasible,2102.0,900.134,FJSP
17.txt,Optimal,762.0,0.297,FJSP
170.txt,Feasible,2332.0,900.161,FJSP
171.txt,Feasible,2101.0,900.075,FJSP
172.txt,Feasible,2085.0,900.07,FJSP
173.txt,Feasible,2278.0,900.208,FJSP
174.txt,Feasible,2212.0,900.068,FJSP
175.txt,Feasible,2180.0,900.115,FJSP
176.txt,Feasible,2299.0,900.196,FJSP
177.txt,Feasible,2188.0,900.056,FJSP
178.txt,Feasible,2200.0,900.119,FJSP
179.txt,Optimal,11.0,0.027,FJSP
18.txt,Optimal,845.0,0.171,FJSP
180.txt,Optimal,14.0,0.361,FJSP
181.txt,Optimal,11.0,0.283,FJSP
182.txt,Optimal,7.0,0.149,FJSP
183.txt,Optimal,11.0,115.355,FJSP
184.txt,Optimal,468.0,0.046,FJSP
185.txt,Optimal,446.0,0.035,FJSP
186.txt,Optimal,466.0,0.073,FJSP
