problem,instance,num_jobs,num_machines,num_modes,num_resources,num_tasks
DPFSP,1.txt,20,10,200,10,100
DPFSP,10.txt,20,30,600,30,100
DPFSP,100.txt,20,60,1200,60,200
DPFSP,101.txt,20,40,800,40,400
DPFSP,102.txt,20,60,1200,60,400
DPFSP,103.txt,20,80,1600,80,400
DPFSP,104.txt,20,100,2000,100,400
DPFSP,105.txt,20,120,2400,120,400
DPFSP,106.txt,20,40,800,40,400
DPFSP,107.txt,20,60,1200,60,400
DPFSP,108.txt,20,80,1600,80,400
DPFSP,109.txt,20,100,2000,100,400
DPFSP,11.txt,20,10,200,10,100
DPFSP,110.txt,20,120,2400,120,400
DPFSP,111.txt,20,40,800,40,400
DPFSP,112.txt,20,60,1200,60,400
DPFSP,113.txt,20,80,1600,80,400
DPFSP,114.txt,20,100,2000,100,400
DPFSP,115.txt,20,120,2400,120,400
DPFSP,116.txt,20,40,800,40,400
DPFSP,117.txt,20,60,1200,60,400
DPFSP,118.txt,20,80,1600,80,400
DPFSP,119.txt,20,100,2000,100,400
DPFSP,12.txt,20,15,300,15,100
DPFSP,120.txt,20,120,2400,120,400
DPFSP,121.txt,20,40,800,40,400
DPFSP,122.txt,20,60,1200,60,400
DPFSP,123.txt,20,80,1600,80,400
DPFSP,124.txt,20,100,2000,100,400
DPFSP,125.txt,20,120,2400,120,400
DPFSP,126.txt,20,40,800,40,400
DPFSP,127.txt,20,60,1200,60,400
DPFSP,128.txt,20,80,1600,80,400
DPFSP,129.txt,20,100,2000,100,400
DPFSP,13.txt,20,20,400,20,100
DPFSP,130.txt,20,120,2400,120,400
DPFSP,131.txt,20,40,800,40,400
DPFSP,132.txt,20,60,1200,60,400
DPFSP,133.txt,20,80,1600,80,400
DPFSP,134.txt,20,100,2000,100,400
DPFSP,135.txt,20,120,2400,120,400
DPFSP,136.txt,20,40,800,40,400
DPFSP,137.txt,20,60,1200,60,400
DPFSP,138.txt,20,80,1600,80,400
DPFSP,139.txt,20,100,2000,100,400
DPFSP,14.txt,20,25,500,25,100
DPFSP,140.txt,20,120,2400,120,400
DPFSP,141.txt,20,40,800,40,400
DPFSP,142.txt,20,60,1200,60,400
DPFSP,143.txt,20,80,1600,80,400
DPFSP,144.txt,20,100,2000,100,400
DPFSP,145.txt,20,120,2400,120,400
DPFSP,146.txt,20,40,800,40,400
DPFSP,147.txt,20,60,1200,60,400
DPFSP,148.txt,20,80,1600,80,400
DPFSP,149.txt,20,100,2000,100,400
DPFSP,15.txt,20,30,600,30,100
DPFSP,150.txt,20,120,2400,120,400
DPFSP,151.txt,50,10,500,10,250
DPFSP,152.txt,50,15,750,15,250
DPFSP,153.txt,50,20,1000,20,250
DPFSP,154.txt,50,25,1250,25,250
DPFSP,155.txt,50,30,1500,30,250
DPFSP,156.txt,50,10,500,10,250
DPFSP,157.txt,50,15,750,15,250
DPFSP,158.txt,50,20,1000,20,250
DPFSP,159.txt,50,25,1250,25,250
DPFSP,16.txt,20,10,200,10,100
DPFSP,160.txt,50,30,1500,30,250
DPFSP,161.txt,50,10,500,10,250
DPFSP,162.txt,50,15,750,15,250
DPFSP,163.txt,50,20,1000,20,250
DPFSP,164.txt,50,25,1250,25,250
DPFSP,165.txt,50,30,1500,30,250
DPFSP,166.txt,50,10,500,10,250
DPFSP,167.txt,50,15,750,15,250
DPFSP,168.txt,50,20,1000,20,250
DPFSP,169.txt,50,25,1250,25,250
DPFSP,17.txt,20,15,300,15,100
DPFSP,170.txt,50,30,1500,30,250
DPFSP,171.txt,50,10,500,10,250
DPFSP,172.txt,50,15,750,15,250
DPFSP,173.txt,50,20,1000,20,250
DPFSP,174.txt,50,25,1250,25,250
DPFSP,175.txt,50,30,1500,30,250
DPFSP,176.txt,50,10,500,10,250
DPFSP,177.txt,50,15,750,15,250
DPFSP,178.txt,50,20,1000,20,250
DPFSP,179.txt,50,25,1250,25,250
DPFSP,18.txt,20,20,400,20,100
DPFSP,180.txt,50,30,1500,30,250
DPFSP,181.txt,50,10,500,10,250
DPFSP,182.txt,50,15,750,15,250
DPFSP,183.txt,50,20,1000,20,250
DPFSP,184.txt,50,25,1250,25,250
DPFSP,185.txt,50,30,1500,30,250
DPFSP,186.txt,50,10,500,10,250
DPFSP,187.txt,50,15,750,15,250
DPFSP,188.txt,50,20,1000,20,250
DPFSP,189.txt,50,25,1250,25,250
DPFSP,19.txt,20,25,500,25,100
DPFSP,190.txt,50,30,1500,30,250
DPFSP,191.txt,50,10,500,10,250
DPFSP,192.txt,50,15,750,15,250
DPFSP,193.txt,50,20,1000,20,250
DPFSP,194.txt,50,25,1250,25,250
DPFSP,195.txt,50,30,1500,30,250
DPFSP,196.txt,50,10,500,10,250
DPFSP,197.txt,50,15,750,15,250
DPFSP,198.txt,50,20,1000,20,250
DPFSP,199.txt,50,25,1250,25,250
DPFSP,2.txt,20,15,300,15,100
DPFSP,20.txt,20,30,600,30,100
DPFSP,200.txt,50,30,1500,30,250
DPFSP,201.txt,50,20,1000,20,500
DPFSP,202.txt,50,30,1500,30,500
DPFSP,203.txt,50,40,2000,40,500
DPFSP,204.txt,50,50,2500,50,500
DPFSP,205.txt,50,60,3000,60,500
DPFSP,206.txt,50,20,1000,20,500
DPFSP,207.txt,50,30,1500,30,500
DPFSP,208.txt,50,40,2000,40,500
DPFSP,209.txt,50,50,2500,50,500
DPFSP,21.txt,20,10,200,10,100
DPFSP,210.txt,50,60,3000,60,500
DPFSP,211.txt,50,20,1000,20,500
DPFSP,212.txt,50,30,1500,30,500
DPFSP,213.txt,50,40,2000,40,500
DPFSP,214.txt,50,50,2500,50,500
DPFSP,215.txt,50,60,3000,60,500
DPFSP,216.txt,50,20,1000,20,500
DPFSP,217.txt,50,30,1500,30,500
DPFSP,218.txt,50,40,2000,40,500
DPFSP,219.txt,50,50,2500,50,500
DPFSP,22.txt,20,15,300,15,100
DPFSP,220.txt,50,60,3000,60,500
DPFSP,221.txt,50,20,1000,20,500
DPFSP,222.txt,50,30,1500,30,500
DPFSP,223.txt,50,40,2000,40,500
DPFSP,224.txt,50,50,2500,50,500
DPFSP,225.txt,50,60,3000,60,500
DPFSP,226.txt,50,20,1000,20,500
DPFSP,227.txt,50,30,1500,30,500
DPFSP,228.txt,50,40,2000,40,500
DPFSP,229.txt,50,50,2500,50,500
DPFSP,23.txt,20,20,400,20,100
DPFSP,230.txt,50,60,3000,60,500
DPFSP,231.txt,50,20,1000,20,500
DPFSP,232.txt,50,30,1500,30,500
DPFSP,233.txt,50,40,2000,40,500
DPFSP,234.txt,50,50,2500,50,500
DPFSP,235.txt,50,60,3000,60,500
DPFSP,236.txt,50,20,1000,20,500
DPFSP,237.txt,50,30,1500,30,500
DPFSP,238.txt,50,40,2000,40,500
DPFSP,239.txt,50,50,2500,50,500
DPFSP,24.txt,20,25,500,25,100
DPFSP,240.txt,50,60,3000,60,500
DPFSP,241.txt,50,20,1000,20,500
DPFSP,242.txt,50,30,1500,30,500
DPFSP,243.txt,50,40,2000,40,500
DPFSP,244.txt,50,50,2500,50,500
DPFSP,245.txt,50,60,3000,60,500
DPFSP,246.txt,50,20,1000,20,500
DPFSP,247.txt,50,30,1500,30,500
DPFSP,248.txt,50,40,2000,40,500
DPFSP,249.txt,50,50,2500,50,500
DPFSP,25.txt,20,30,600,30,100
DPFSP,250.txt,50,60,3000,60,500
DPFSP,251.txt,50,40,2000,40,1000
DPFSP,252.txt,50,60,3000,60,1000
DPFSP,253.txt,50,80,4000,80,1000
DPFSP,254.txt,50,100,5000,100,1000
DPFSP,255.txt,50,120,6000,120,1000
DPFSP,256.txt,50,40,2000,40,1000
DPFSP,257.txt,50,60,3000,60,1000
DPFSP,258.txt,50,80,4000,80,1000
DPFSP,259.txt,50,100,5000,100,1000
DPFSP,26.txt,20,10,200,10,100
DPFSP,260.txt,50,120,6000,120,1000
DPFSP,261.txt,50,40,2000,40,1000
DPFSP,262.txt,50,60,3000,60,1000
DPFSP,263.txt,50,80,4000,80,1000
DPFSP,264.txt,50,100,5000,100,1000
DPFSP,265.txt,50,120,6000,120,1000
DPFSP,266.txt,50,40,2000,40,1000
DPFSP,267.txt,50,60,3000,60,1000
DPFSP,268.txt,50,80,4000,80,1000
DPFSP,269.txt,50,100,5000,100,1000
DPFSP,27.txt,20,15,300,15,100
DPFSP,270.txt,50,120,6000,120,1000
DPFSP,271.txt,50,40,2000,40,1000
DPFSP,272.txt,50,60,3000,60,1000
DPFSP,273.txt,50,80,4000,80,1000
DPFSP,274.txt,50,100,5000,100,1000
DPFSP,275.txt,50,120,6000,120,1000
DPFSP,276.txt,50,40,2000,40,1000
DPFSP,277.txt,50,60,3000,60,1000
DPFSP,278.txt,50,80,4000,80,1000
DPFSP,279.txt,50,100,5000,100,1000
DPFSP,28.txt,20,20,400,20,100
DPFSP,280.txt,50,120,6000,120,1000
DPFSP,281.txt,50,40,2000,40,1000
DPFSP,282.txt,50,60,3000,60,1000
DPFSP,283.txt,50,80,4000,80,1000
DPFSP,284.txt,50,100,5000,100,1000
DPFSP,285.txt,50,120,6000,120,1000
DPFSP,286.txt,50,40,2000,40,1000
DPFSP,287.txt,50,60,3000,60,1000
DPFSP,288.txt,50,80,4000,80,1000
DPFSP,289.txt,50,100,5000,100,1000
DPFSP,29.txt,20,25,500,25,100
DPFSP,290.txt,50,120,6000,120,1000
DPFSP,291.txt,50,40,2000,40,1000
DPFSP,292.txt,50,60,3000,60,1000
DPFSP,293.txt,50,80,4000,80,1000
DPFSP,294.txt,50,100,5000,100,1000
DPFSP,295.txt,50,120,6000,120,1000
DPFSP,296.txt,50,40,2000,40,1000
DPFSP,297.txt,50,60,3000,60,1000
DPFSP,298.txt,50,80,4000,80,1000
DPFSP,299.txt,50,100,5000,100,1000
DPFSP,3.txt,20,20,400,20,100
DPFSP,30.txt,20,30,600,30,100
DPFSP,300.txt,50,120,6000,120,1000
DPFSP,301.txt,100,10,1000,10,500
DPFSP,302.txt,100,15,1500,15,500
DPFSP,303.txt,100,20,2000,20,500
DPFSP,304.txt,100,25,2500,25,500
DPFSP,305.txt,100,30,3000,30,500
DPFSP,306.txt,100,10,1000,10,500
DPFSP,307.txt,100,15,1500,15,500
DPFSP,308.txt,100,20,2000,20,500
DPFSP,309.txt,100,25,2500,25,500
DPFSP,31.txt,20,10,200,10,100
DPFSP,310.txt,100,30,3000,30,500
DPFSP,311.txt,100,10,1000,10,500
DPFSP,312.txt,100,15,1500,15,500
DPFSP,313.txt,100,20,2000,20,500
DPFSP,314.txt,100,25,2500,25,500
DPFSP,315.txt,100,30,3000,30,500
DPFSP,316.txt,100,10,1000,10,500
DPFSP,317.txt,100,15,1500,15,500
DPFSP,318.txt,100,20,2000,20,500
DPFSP,319.txt,100,25,2500,25,500
DPFSP,32.txt,20,15,300,15,100
DPFSP,320.txt,100,30,3000,30,500
DPFSP,321.txt,100,10,1000,10,500
DPFSP,322.txt,100,15,1500,15,500
DPFSP,323.txt,100,20,2000,20,500
DPFSP,324.txt,100,25,2500,25,500
DPFSP,325.txt,100,30,3000,30,500
DPFSP,326.txt,100,10,1000,10,500
DPFSP,327.txt,100,15,1500,15,500
DPFSP,328.txt,100,20,2000,20,500
DPFSP,329.txt,100,25,2500,25,500
DPFSP,33.txt,20,20,400,20,100
DPFSP,330.txt,100,30,3000,30,500
DPFSP,331.txt,100,10,1000,10,500
DPFSP,332.txt,100,15,1500,15,500
DPFSP,333.txt,100,20,2000,20,500
DPFSP,334.txt,100,25,2500,25,500
DPFSP,335.txt,100,30,3000,30,500
DPFSP,336.txt,100,10,1000,10,500
DPFSP,337.txt,100,15,1500,15,500
DPFSP,338.txt,100,20,2000,20,500
DPFSP,339.txt,100,25,2500,25,500
DPFSP,34.txt,20,25,500,25,100
DPFSP,340.txt,100,30,3000,30,500
DPFSP,341.txt,100,10,1000,10,500
DPFSP,342.txt,100,15,1500,15,500
DPFSP,343.txt,100,20,2000,20,500
DPFSP,344.txt,100,25,2500,25,500
DPFSP,345.txt,100,30,3000,30,500
DPFSP,346.txt,100,10,1000,10,500
DPFSP,347.txt,100,15,1500,15,500
DPFSP,348.txt,100,20,2000,20,500
DPFSP,349.txt,100,25,2500,25,500
DPFSP,35.txt,20,30,600,30,100
DPFSP,350.txt,100,30,3000,30,500
DPFSP,351.txt,100,20,2000,20,1000
DPFSP,352.txt,100,30,3000,30,1000
DPFSP,353.txt,100,40,4000,40,1000
DPFSP,354.txt,100,50,5000,50,1000
DPFSP,355.txt,100,60,6000,60,1000
DPFSP,356.txt,100,20,2000,20,1000
DPFSP,357.txt,100,30,3000,30,1000
DPFSP,358.txt,100,40,4000,40,1000
DPFSP,359.txt,100,50,5000,50,1000
DPFSP,36.txt,20,10,200,10,100
DPFSP,360.txt,100,60,6000,60,1000
DPFSP,361.txt,100,20,2000,20,1000
DPFSP,362.txt,100,30,3000,30,1000
DPFSP,363.txt,100,40,4000,40,1000
DPFSP,364.txt,100,50,5000,50,1000
DPFSP,365.txt,100,60,6000,60,1000
DPFSP,366.txt,100,20,2000,20,1000
DPFSP,367.txt,100,30,3000,30,1000
DPFSP,368.txt,100,40,4000,40,1000
DPFSP,369.txt,100,50,5000,50,1000
DPFSP,37.txt,20,15,300,15,100
DPFSP,370.txt,100,60,6000,60,1000
DPFSP,371.txt,100,20,2000,20,1000
DPFSP,372.txt,100,30,3000,30,1000
DPFSP,373.txt,100,40,4000,40,1000
DPFSP,374.txt,100,50,5000,50,1000
DPFSP,375.txt,100,60,6000,60,1000
DPFSP,376.txt,100,20,2000,20,1000
DPFSP,377.txt,100,30,3000,30,1000
DPFSP,378.txt,100,40,4000,40,1000
DPFSP,379.txt,100,50,5000,50,1000
DPFSP,38.txt,20,20,400,20,100
DPFSP,380.txt,100,60,6000,60,1000
DPFSP,381.txt,100,20,2000,20,1000
DPFSP,382.txt,100,30,3000,30,1000
DPFSP,383.txt,100,40,4000,40,1000
DPFSP,384.txt,100,50,5000,50,1000
DPFSP,385.txt,100,60,6000,60,1000
DPFSP,386.txt,100,20,2000,20,1000
DPFSP,387.txt,100,30,3000,30,1000
DPFSP,388.txt,100,40,4000,40,1000
DPFSP,389.txt,100,50,5000,50,1000
DPFSP,39.txt,20,25,500,25,100
DPFSP,390.txt,100,60,6000,60,1000
DPFSP,391.txt,100,20,2000,20,1000
DPFSP,392.txt,100,30,3000,30,1000
DPFSP,393.txt,100,40,4000,40,1000
DPFSP,394.txt,100,50,5000,50,1000
DPFSP,395.txt,100,60,6000,60,1000
DPFSP,396.txt,100,20,2000,20,1000
DPFSP,397.txt,100,30,3000,30,1000
DPFSP,398.txt,100,40,4000,40,1000
DPFSP,399.txt,100,50,5000,50,1000
DPFSP,4.txt,20,25,500,25,100
DPFSP,40.txt,20,30,600,30,100
DPFSP,400.txt,100,60,6000,60,1000
DPFSP,401.txt,100,40,4000,40,2000
DPFSP,402.txt,100,60,6000,60,2000
DPFSP,403.txt,100,80,8000,80,2000
DPFSP,404.txt,100,100,10000,100,2000
DPFSP,405.txt,100,120,12000,120,2000
DPFSP,406.txt,100,40,4000,40,2000
DPFSP,407.txt,100,60,6000,60,2000
DPFSP,408.txt,100,80,8000,80,2000
DPFSP,409.txt,100,100,10000,100,2000
DPFSP,41.txt,20,10,200,10,100
DPFSP,410.txt,100,120,12000,120,2000
DPFSP,411.txt,100,40,4000,40,2000
DPFSP,412.txt,100,60,6000,60,2000
DPFSP,413.txt,100,80,8000,80,2000
DPFSP,414.txt,100,100,10000,100,2000
DPFSP,415.txt,100,120,12000,120,2000
DPFSP,416.txt,100,40,4000,40,2000
DPFSP,417.txt,100,60,6000,60,2000
DPFSP,418.txt,100,80,8000,80,2000
DPFSP,419.txt,100,100,10000,100,2000
DPFSP,42.txt,20,15,300,15,100
DPFSP,420.txt,100,120,12000,120,2000
DPFSP,421.txt,100,40,4000,40,2000
DPFSP,422.txt,100,60,6000,60,2000
DPFSP,423.txt,100,80,8000,80,2000
DPFSP,424.txt,100,100,10000,100,2000
DPFSP,425.txt,100,120,12000,120,2000
DPFSP,426.txt,100,40,4000,40,2000
DPFSP,427.txt,100,60,6000,60,2000
DPFSP,428.txt,100,80,8000,80,2000
DPFSP,429.txt,100,100,10000,100,2000
DPFSP,43.txt,20,20,400,20,100
DPFSP,430.txt,100,120,12000,120,2000
DPFSP,431.txt,100,40,4000,40,2000
DPFSP,432.txt,100,60,6000,60,2000
DPFSP,433.txt,100,80,8000,80,2000
